Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-01,10:28:30,0.57,-0.13,0.87,12.45,27.04,-28.93
2025-02-01,10:28:30,-0.49,-0.21,0.90,-11.96,-31.62,-34.18
2025-02-01,10:28:30,0.60,-0.18,1.09,17.52,1.59,-29.66
2025-02-01,10:28:30,-0.35,-0.00,1.03,27.89,-0.37,21.00
2025-02-01,10:28:30,0.55,-0.30,1.22,6.71,-11.05,-18.31
2025-02-01,10:28:30,-0.59,-0.24,1.22,-5.62,15.69,12.39
2025-02-01,10:28:30,0.61,-0.25,0.78,-5.49,6.10,24.48
2025-02-01,10:28:30,-0.28,-0.10,1.02,3.72,26.73,34.97
2025-02-01,10:28:30,0.45,-0.38,0.99,-27.71,-41.02,-33.81
2025-02-01,10:28:30,-0.26,-0.19,1.21,10.19,23.93,41.81
2025-02-01,10:28:30,0.44,-0.14,0.86,-12.21,-30.15,12.82
2025-02-01,10:28:30,-0.13,0.03,0.83,3.91,57.68,29.97
2025-02-01,10:28:30,0.37,-0.05,0.97,-10.50,-36.13,3.30
2025-02-01,10:28:30,0.08,0.01,0.95,15.32,35.58,36.93
2025-02-01,10:28:30,0.34,-0.08,0.75,-5.43,-77.82,1.71
2025-02-01,10:28:30,0.09,0.04,1.08,6.53,13.06,-2.99
2025-02-01,10:28:30,0.25,-0.04,1.06,-3.54,0.37,17.52
2025-02-01,10:28:30,0.14,0.10,1.02,11.17,28.44,22.95
2025-02-01,10:28:30,0.29,0.16,0.55,6.47,17.70,25.57
2025-02-01,10:28:30,0.26,0.12,0.86,12.94,33.63,6.84
2025-02-01,10:28:30,0.19,-0.04,1.04,13.92,-45.23,15.93
2025-02-01,10:28:30,0.39,-0.22,0.86,2.81,30.58,-21.18
2025-02-01,10:28:30,-0.03,-0.02,1.08,-2.99,-50.96,-0.12
2025-02-01,10:28:30,0.41,-0.15,0.98,-5.00,7.93,-41.32
2025-02-01,10:28:30,-0.39,-0.47,1.06,-1.53,-36.44,-76.23
2025-02-01,10:28:30,0.46,-0.14,0.90,25.27,8.79,-32.29
2025-02-01,10:28:30,-0.25,-0.27,0.94,-25.27,-12.70,-15.20
2025-02-01,10:28:30,0.46,-0.16,1.00,24.41,16.48,-32.29
2025-02-01,10:28:30,-0.43,-0.33,1.24,5.74,-29.36,-0.55
2025-02-01,10:28:30,0.53,-0.26,0.98,-6.84,0.12,-15.93
2025-02-01,10:28:30,-0.55,-0.40,1.15,34.85,-2.08,40.59
2025-02-01,10:28:30,0.52,-0.32,0.88,-26.43,15.81,-2.75
2025-02-01,10:28:30,-0.25,-0.14,1.16,0.73,16.66,27.71
2025-02-01,10:28:30,0.40,-0.26,1.02,-42.54,-37.11,-30.88
2025-02-01,10:28:30,-0.11,-0.05,0.86,-16.48,34.67,24.35
2025-02-01,10:28:30,0.31,-0.08,0.71,-8.67,-30.70,-20.02
2025-02-01,10:28:30,0.15,0.03,0.91,2.69,38.82,40.95
2025-02-01,10:28:30,0.01,-0.11,0.85,5.55,-7.69,-6.35
2025-02-01,10:28:30,0.35,-0.08,0.96,16.17,19.71,-19.47
2025-02-01,10:28:30,-0.34,-0.14,0.96,12.76,-3.66,1.53
2025-02-01,10:28:30,0.47,-0.20,0.95,11.78,-6.90,-17.09
2025-02-01,10:28:30,-0.55,-0.26,1.10,-1.04,-18.68,-20.20
2025-02-01,10:28:30,0.29,-0.47,1.24,-2.99,24.78,-20.14
2025-02-01,10:28:30,-0.29,-0.35,2.12,11.54,17.58,0.73
2025-02-01,10:28:30,0.16,0.04,0.39,14.77,-80.69,-15.20
2025-02-01,10:28:30,-0.12,-0.19,1.00,-15.81,125.79,32.47
2025-02-01,10:28:30,-0.08,-0.33,1.63,12.63,-93.69,-22.95
2025-02-01,10:28:30,0.22,-0.04,0.15,-1.04,14.16,9.89
2025-02-01,10:28:30,-0.15,-0.26,1.49,-28.81,84.96,16.97
2025-02-01,10:28:30,-0.03,-0.16,1.04,20.51,-92.53,-37.35
2025-02-01,10:28:30,0.14,-0.11,0.40,-1.83,66.59,7.81
2025-02-01,10:28:30,-0.22,-0.33,1.88,-18.07,53.65,18.74
2025-02-01,10:28:30,-0.06,-0.18,0.97,19.71,-113.65,-24.48
2025-02-01,10:28:30,0.11,-0.09,0.35,-3.54,74.65,8.79
2025-02-01,10:28:30,-0.21,-0.21,1.89,-9.70,52.86,21.30
2025-02-01,10:28:30,-0.07,-0.17,0.85,9.28,-116.33,-31.37
2025-02-01,10:28:30,0.13,0.05,0.23,5.62,69.70,24.05
2025-02-01,10:28:30,-0.15,-0.28,1.70,-19.90,63.54,12.08
2025-02-01,10:28:30,-0.04,-0.19,0.93,15.69,-114.26,-28.69
2025-02-01,10:28:30,0.15,-0.03,0.28,0.31,62.01,10.50
2025-02-01,10:28:30,-0.24,-0.23,2.13,-12.27,52.49,22.34
2025-02-01,10:28:30,0.01,-0.19,0.89,10.56,-86.06,-16.85
2025-02-01,10:28:30,0.12,-0.09,0.35,-9.64,83.86,7.39
2025-02-01,10:28:30,-0.26,-0.28,2.25,-2.20,14.10,-0.49
2025-02-01,10:28:30,0.04,-0.05,0.86,10.56,-107.48,-21.30
2025-02-01,10:28:30,0.12,-0.02,0.23,15.69,69.70,2.93
2025-02-01,10:28:30,-0.17,-0.21,1.55,-25.27,94.24,8.24
2025-02-01,10:28:30,-0.03,-0.08,1.10,25.70,-111.08,-28.69
2025-02-01,10:28:30,0.20,-0.08,0.30,0.98,34.55,7.75
2025-02-01,10:28:30,-0.12,-0.17,1.48,-13.18,71.72,5.49
2025-02-01,10:28:30,0.01,-0.17,0.79,13.98,-92.65,-30.33
2025-02-01,10:28:30,0.14,-0.05,0.29,7.63,55.42,10.68
2025-02-01,10:28:30,-0.14,-0.12,1.54,-10.93,68.85,6.10
2025-02-01,10:28:30,-0.07,-0.11,0.97,17.03,-108.15,-16.05
2025-02-01,10:28:30,0.14,-0.07,0.25,9.58,45.47,10.93
2025-02-01,10:28:30,-0.17,-0.26,1.67,-25.82,74.58,14.28
2025-02-01,10:28:30,-0.04,-0.19,1.02,5.68,-90.64,-11.96
2025-02-01,10:28:30,0.14,0.01,0.32,-4.15,48.58,16.97
2025-02-01,10:28:30,-0.18,-0.26,1.50,-31.01,89.42,18.19
2025-02-01,10:28:30,-0.06,-0.10,1.17,19.41,-110.05,-36.07
2025-02-01,10:28:30,0.18,-0.00,0.28,-2.01,21.24,2.99
2025-02-01,10:28:30,-0.09,-0.19,1.18,-15.20,84.23,25.88
2025-02-01,10:28:30,-0.10,-0.27,1.57,25.76,-85.14,-31.31
2025-02-01,10:28:30,0.20,0.06,0.19,11.78,-29.30,-3.17
2025-02-01,10:28:30,-0.06,-0.12,0.80,-40.41,88.26,29.48
2025-02-01,10:28:30,-0.12,-0.28,1.83,17.15,-52.55,-20.45
2025-02-01,10:28:30,0.04,0.04,0.40,17.52,-76.72,-16.60
2025-02-01,10:28:30,0.07,0.03,0.53,-12.76,80.51,18.01
2025-02-01,10:28:30,-0.14,-0.30,2.04,5.25,-10.68,-0.79
2025-02-01,10:28:30,0.02,-0.02,0.65,18.55,-103.27,-23.99
2025-02-01,10:28:30,0.19,0.08,0.27,-6.16,72.75,23.07
2025-02-01,10:28:30,-0.12,-0.17,1.46,-18.74,81.30,11.35
2025-02-01,10:28:30,0.01,-0.16,1.15,13.18,-90.70,-24.54
2025-02-01,10:28:30,0.21,0.06,0.21,4.76,8.91,3.42
2025-02-01,10:28:30,-0.08,-0.15,0.98,-32.96,115.91,28.99
2025-02-01,10:28:30,-0.13,-0.15,1.77,0.73,-84.05,-24.11
2025-02-01,10:28:30,0.12,0.08,0.34,12.21,-64.15,-9.70
2025-02-01,10:28:30,-0.04,-0.08,0.79,-22.95,96.50,14.47
2025-02-01,10:28:30,-0.20,-0.19,2.04,23.93,-15.08,-8.06
2025-02-01,10:28:30,-0.02,-0.01,0.88,19.29,-92.77,-12.51
2025-02-01,10:28:30,0.14,-0.04,0.42,-9.89,59.27,7.14
2025-02-01,10:28:30,-0.01,-0.09,1.24,-17.82,71.72,8.48
2025-02-01,10:28:30,-0.11,-0.15,1.42,16.36,-86.36,-24.35
2025-02-01,10:28:30,0.07,-0.05,0.75,-5.68,14.89,10.13
2025-02-01,10:28:30,-0.07,-0.07,1.32,2.32,10.68,5.62
2025-02-01,10:28:30,-0.00,-0.03,1.00,-2.01,-2.08,-3.91
2025-02-01,10:28:30,-0.02,-0.03,1.01,1.59,-0.31,-2.75
2025-02-01,10:28:30,-0.02,-0.05,0.99,-1.22,-1.40,-2.14
2025-02-01,10:28:30,0.01,-0.02,1.01,0.00,-0.49,-0.24
2025-02-01,10:28:30,0.02,-0.19,1.08,88.68,19.53,22.22
2025-02-01,10:28:30,0.10,-0.57,1.06,269.35,-22.46,34.00
2025-02-01,10:28:30,-0.06,-1.27,-0.19,-149.90,-20.20,-12.15
2025-02-01,10:28:30,0.19,0.71,0.82,-231.45,-24.60,8.18
2025-02-01,10:28:30,0.17,0.14,0.86,350.77,-12.27,-49.74
2025-02-01,10:28:30,0.08,-0.86,-0.72,148.38,-0.43,-26.79
2025-02-01,10:28:30,0.17,-0.65,0.54,-427.31,34.91,7.63
2025-02-01,10:28:30,0.18,0.93,0.39,-92.77,-7.39,10.50
